Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,1936390,49098,798240,1089052
Albania,196702,5708,118877,72117
Algeria,1179755,77972,755897,345886
Andorra,94404,5423,69074,19907
Angola,22662,1078,6573,15011
Antigua and Barbuda,4487,326,2600,1561
Argentina,4450658,97749,1680024,2672885
Armenia,1587173,27089,857482,702602
Australia,960247,11387,711928,236932
Austria,2034986,71390,1638380,325216
Azerbaijan,1134717,14282,703402,417033
Bahamas,12100,1203,6047,4850
Bahrain,1755206,5115,1334787,415304
Bangladesh,8754729,115633,3714702,4924394
Barbados,10652,738,7444,2470
Belarus,4426759,28391,2771925,1626443
Belgium,6281116,963679,1627492,3689945
Belize,2636,222,1618,796
Benin,64406,1095,25911,37400
Bhutan,4971,0,2838,2133
Bolivia,2170351,78032,571653,1520666
Bosnia and Herzegovina,396634,16373,207156,173105
Botswana,15306,120,2291,12895
Brazil,89524967,3938034,54492873,31094060
Brunei,18168,226,15262,2680
Bulgaria,410722,17654,182621,210447
Burkina Faso,96153,5583,74876,15694
Burma,25188,639,15476,9073
Burundi,11351,106,7361,3884
Cabo Verde,82732,854,38253,43625
Cambodia,17079,0,13917,3162
Cameroon,844817,22354,588941,233522
Canada,9356551,699566,0,8656985
Central African Republic,198659,2010,43318,153331
Chad,64226,5523,48059,10644
Chile,16935654,322480,13292593,3320581
China,14132002,672413,11466866,1992723
Colombia,6893122,236525,2823811,3832786
Comoros,15823,337,11473,4013
Congo (Brazzaville),101609,2696,29132,69781
Congo (Kinshasa),427604,10888,135073,281643
Costa Rica,347151,2037,116642,228472
Cote d'Ivoire,611062,4717,309368,296977
Croatia,299218,10372,213360,75486
Cuba,216346,8145,170780,37421
Cyprus,107176,1962,65254,39960
Czechia,1146758,33364,651140,462254
Denmark,1305978,60602,1057021,188355
Djibouti,336216,3011,255143,78062
Dominica,2059,0,1659,400
Dominican Republic,2495433,61786,1211513,1222134
Ecuador,4678496,346618,1772210,2559668
Egypt,4142819,186936,1197283,2758600
El Salvador,453036,11429,240972,200635
Equatorial Guinea,153258,2246,35352,115660
Eritrea,11786,0,5724,6062
Estonia,216505,6826,137224,72455
Eswatini,63160,763,30185,32212
Ethiopia,357928,5887,121793,230248
Fiji,2266,0,1568,698
Finland,713167,30338,544492,138337
France,21210926,3048524,7182115,10980287
Gabon,330678,2497,146671,181510
Gambia,4845,209,2278,2358
Georgia,85213,1266,60230,23717
Germany,21059152,871322,17107839,3079991
Ghana,1246644,6908,814529,425207
Greece,362615,19215,132346,211054
Greenland,1507,0,1372,135
Grenada,2466,0,1848,618
Guatemala,1273708,49133,416757,807818
Guinea,403605,2356,276575,124674
Guinea-Bissau,122994,1291,26036,95667
Guyana,19089,1346,8521,9222
Haiti,333181,6663,87298,239220
Holy See,1356,0,742,614
Honduras,1228583,37941,135380,1055262
Hungary,396247,51053,204205,140989
Iceland,221241,1141,190132,29968
India,40883464,1111831,23783720,15987913
Indonesia,4057909,220272,1677484,2160153
Iran,19339267,1024136,15200895,3114236
Iraq,3093628,121392,1790961,1181275
Ireland,2571918,161948,1997530,412440
Israel,2677930,31627,1521162,1125141
Italy,26745145,3707717,15673910,7363518
Jamaica,61392,1005,36003,24384
Japan,1952495,85559,1307911,559025
Jordan,93144,1041,68045,24058
Kazakhstan,2430707,14621,1342402,1073684
Kenya,464603,10463,161998,292142
Kosovo,225972,5229,122234,98509
Kuwait,3120160,23084,2205347,891729
Kyrgyzstan,596200,14979,301587,279634
Laos,2229,0,1540,689
Latvia,118383,2458,74648,41277
Lebanon,166607,3520,82508,80579
Lesotho,6794,98,1318,5378
Liberia,51775,3341,23418,25016
Libya,62321,1612,14199,46510
Liechtenstein,10351,116,9477,758
Lithuania,188762,7019,120592,61151
Luxembourg,501355,11624,379664,110067
Madagascar,207296,1699,99424,106173
Malawi,89666,1640,26822,61204
Malaysia,876874,12971,703056,160847
Maldives,173602,705,106302,66595
Mali,151494,8229,95287,47978
Malta,67483,765,53260,13458
Mauritania,219095,6720,94938,117437
Mauritius,39448,1161,32602,5685
Mexico,14946202,1728277,11141225,2076700
Moldova,1156957,38196,652369,466392
Monaco,11993,425,8707,2861
Mongolia,16999,0,9902,7097
Montenegro,72422,1379,31486,39557
Morocco,1002746,23170,703960,275616
Mozambique,58006,361,0,57645
Namibia,28836,72,2152,26612
Nepal,682623,1660,308056,372907
Netherlands,5167516,622314,16967,4528235
New Zealand,175979,2181,149560,24238
Nicaragua,137545,4867,86849,45829
Niger,102223,5948,79067,17208
Nigeria,1634040,39416,600928,993696
North Macedonia,440483,21235,214483,204765
Norway,1008821,25664,544430,438727
Oman,2559773,11804,1439269,1108700
Pakistan,12833994,264729,6936003,5633262
Panama,2378126,51756,1213644,1112726
Papua New Guinea,1185,2,695,488
Paraguay,156373,1663,75800,78910
Peru,19263916,652113,10862846,7748957
Philippines,2972611,110892,785042,2076677
Poland,2755525,118018,1465856,1171651
Portugal,3855363,146603,1809966,1898794
Qatar,6377607,7123,4676443,1694041
Romania,2363132,140031,1409409,813692
Russia,45408411,619385,25120448,19668578
Rwanda,71242,169,36974,34099
Saint Kitts and Nevis,1772,0,1295,477
Saint Lucia,2236,0,1860,376
Saint Vincent and the Grenadines,2771,0,1995,776
San Marino,74949,5086,41810,28053
Sao Tome and Principe,46884,950,15882,30052
Saudi Arabia,12362961,105150,8474107,3783704
Senegal,467457,7177,286778,173502
Serbia,1376322,28876,735730,611716
Seychelles,3977,0,1247,2730
Sierra Leone,95846,4186,58390,33270
Singapore,3502472,2441,2372884,1127147
Slovakia,176429,2692,121950,51787
Slovenia,186132,11326,109805,65001
Somalia,206646,7006,59491,140149
South Africa,11168743,181979,5836423,5150341
South Korea,1647537,33518,1246797,367222
South Sudan,118818,2006,23121,93691
Spain,27404045,3033030,15093583,9277432
Sri Lanka,166865,1105,109389,56371
Sudan,586392,35415,240835,310142
Suriname,32247,721,17436,14090
Sweden,4973160,448913,0,4524247
Switzerland,3696604,207858,2957883,530863
Syria,20946,973,0,19973
Taiwan*,55593,840,42184,12569
Tajikistan,383026,3915,264000,115111
Tanzania,49327,1985,16729,30613
Thailand,366527,6289,312360,47878
Timor-Leste,2487,0,0,2487
Togo,47390,1295,28330,17765
Trinidad and Tobago,14967,949,10531,3487
Tunisia,126590,5250,85410,35930
Turkey,17903345,466056,13345389,4091900
US,224345948,11011411,56353416,156981121
Uganda,56688,6,39767,16915
Ukraine,3214085,85248,1387463,1741374
United Arab Emirates,3658838,25387,2402874,1230577
United Kingdom,26748587,3997775,126217,22624595
Uruguay,94742,2456,72759,19527
Uzbekistan,678008,2938,423777,251293
Venezuela,412231,4101,151542,256588
Vietnam,40675,0,32838,7837
West Bank and Gaza,233461,1370,61124,170967
Western Sahara,901,63,648,190
Yemen,67180,17707,23779,25694
Zambia,129421,2643,83611,43167
Zimbabwe,50794,881,12207,37706
